Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Condition
222,1,0,2,2,1,0,3,0,1,0,2,2,1,Mild
223,3,3,2,3,0,2,3,3,2,2,1,3,2,Severe
224,0,1,2,0,1,3,3,2,1,0,1,0,2,Mild
225,1,1,0,0,3,1,3,1,2,3,0,2,0,Moderate
226,1,0,1,0,3,1,2,3,0,3,1,0,1,Mild
227,0,3,3,0,0,1,2,2,1,2,1,3,3,Moderate
228,1,0,2,2,1,2,1,1,1,3,0,2,0,Mild
229,3,0,3,3,2,2,2,3,2,3,3,0,2,Severe
230,1,0,1,0,0,1,2,1,2,1,1,1,2,Normal
231,3,0,0,2,2,2,0,1,3,0,0,1,3,Mild
232,1,3,1,3,3,0,1,1,1,0,3,1,3,Moderate
233,0,0,1,3,2,1,3,1,1,1,0,3,2,Moderate
234,1,2,0,3,1,0,2,1,1,1,3,3,2,Moderate
235,0,0,0,3,3,1,1,3,2,0,3,3,0,Moderate
236,0,2,0,3,1,3,3,2,3,1,3,3,2,Severe
237,1,3,1,2,2,0,2,1,3,1,3,3,3,Severe
238,3,3,2,1,3,2,3,0,1,3,0,2,2,Severe
239,1,2,2,3,3,1,3,1,1,2,3,1,3,Severe
240,2,1,1,3,3,3,3,3,1,3,3,1,0,Severe
241,1,1,2,1,0,1,2,1,1,3,0,0,2,Mild
242,0,1,2,2,2,3,3,3,1,3,2,3,2,Severe
243,1,2,3,1,2,1,1,3,2,3,2,1,3,Severe
244,2,1,1,1,2,0,1,1,1,0,1,1,0,Normal
245,3,0,1,2,3,2,2,2,3,1,1,0,2,Moderate
246,2,0,3,1,1,3,3,2,1,0,2,1,3,Moderate
247,3,0,3,0,1,2,0,0,3,0,1,3,0,Mild
248,1,2,1,3,2,1,1,2,3,1,1,0,3,Moderate
249,0,2,3,3,2,1,3,3,3,1,1,0,3,Severe
250,2,2,1,2,3,3,0,1,1,3,0,2,2,Moderate
251,3,3,3,0,3,1,2,2,2,3,1,0,0,Moderate
252,2,2,0,0,2,0,0,3,3,2,1,3,1,Moderate
